Nameservice Startzeit: 31.10 19:04:40,505| mit PID <0.877.0> registriert mit Namen 'nameservice'.
lookup um 31.10 19:05:33,795| von <9128.919.0>:{116323,drei@IDBM-PC}.
lookup um 31.10 19:05:33,955| von <9128.919.0>:{116333,drei@IDBM-PC}.
lookup um 31.10 19:05:33,955| von <9128.919.0>:{116535,vier@IDBM-PC}.
lookup um 31.10 19:05:33,955| von <9128.919.0>:{116535,vier@IDBM-PC}.
lookup um 31.10 19:05:33,955| von <9128.919.0>:{116525,vier@IDBM-PC}.
lookup um 31.10 19:05:33,955| von <9128.919.0>:{116515,vier@IDBM-PC}.
lookup um 31.10 19:05:33,955| von <9128.919.0>:{116434,vier@IDBM-PC}.
lookup um 31.10 19:05:33,425| von <9128.919.0>:{116424,vier@IDBM-PC}.
lookup um 31.10 19:05:33,575| von <9128.919.0>:{116414,vier@IDBM-PC}.
lookup um 31.10 19:05:33,575| von <9128.919.0>:{116333,drei@IDBM-PC}.
lookup um 31.10 19:05:33,895| von <9128.919.0>:{116323,drei@IDBM-PC}.
lookup um 31.10 19:05:33,895| von <9128.919.0>:{116313,drei@IDBM-PC}.
lookup um 31.10 19:05:33,895| von <9128.919.0>:{116232,drei@IDBM-PC}.
lookup um 31.10 19:05:33,895| von <9128.919.0>:{116222,drei@IDBM-PC}.
lookup um 31.10 19:05:33,045| von <9128.919.0>:{116212,drei@IDBM-PC}.
lookup um 31.10 19:05:33,045| von <9128.919.0>:{116131,drei@IDBM-PC}.
lookup um 31.10 19:05:33,355| von <9128.919.0>:{116121,drei@IDBM-PC}.
lookup um 31.10 19:05:33,515| von <9128.919.0>:{116111,drei@IDBM-PC}.
lookup um 31.10 19:05:33,985| von <9128.919.0>:{116535,vier@IDBM-PC}.
lookup um 31.10 19:05:33,135| von <9223.702.0>:{116333,drei@IDBM-PC}.
lookup um 31.10 19:05:33,295| von <9223.702.0>:{116424,vier@IDBM-PC}.
lookup um 31.10 19:05:33,295| von <9130.1739.0>:{116323,drei@IDBM-PC}.
lookup um 31.10 19:05:33,455| von <9223.708.0>:{116535,vier@IDBM-PC}.
lookup um 31.10 19:05:33,455| von <9130.1739.0>:{116535,vier@IDBM-PC}.
lookup um 31.10 19:05:33,455| von <9130.1743.0>:{116434,vier@IDBM-PC}.
lookup um 31.10 19:05:33,455| von <9223.708.0>:{116131,drei@IDBM-PC}.
lookup um 31.10 19:05:33,455| von <9223.713.0>:{116333,drei@IDBM-PC}.
lookup um 31.10 19:05:33,605| von <9223.713.0>:{116424,vier@IDBM-PC}.
lookup um 31.10 19:05:33,605| von <9223.719.0>:{116515,vier@IDBM-PC}.
lookup um 31.10 19:05:33,605| von <9130.1743.0>:{116333,drei@IDBM-PC}.
lookup um 31.10 19:05:33,605| von <9130.1748.0>:{116424,vier@IDBM-PC}.
lookup um 31.10 19:05:33,605| von <9223.719.0>:{116323,drei@IDBM-PC}.
lookup um 31.10 19:05:33,605| von <9223.724.0>:{116313,drei@IDBM-PC}.
lookup um 31.10 19:05:33,605| von <9130.1748.0>:{116414,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.724.0>:{116434,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1755.0>:{116525,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.731.0>:{116131,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1755.0>:{116515,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1759.0>:{116424,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.733.0>:{116121,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.731.0>:{116111,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.737.0>:{116535,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.733.0>:{116313,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1759.0>:{116414,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1763.0>:{116212,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1765.0>:{116414,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.737.0>:{116131,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.743.0>:{116333,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.743.0>:{116424,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1763.0>:{116525,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1765.0>:{116232,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1771.0>:{116222,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1774.0>:{116323,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.751.0>:{116121,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.751.0>:{116313,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1771.0>:{116121,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1779.0>:{116111,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1781.0>:{116232,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1784.0>:{116525,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1774.0>:{116535,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1788.0>:{116434,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1779.0>:{116222,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1781.0>:{116212,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1784.0>:{116515,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.757.0>:{116515,vier@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.757.0>:{116323,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.760.0>:{116313,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9130.1788.0>:{116333,drei@IDBM-PC}.
lookup um 31.10 19:05:33,765| von <9223.760.0>:{116434,vier@IDBM-PC}.
